file,organization,doctype_code,matched
Sở Tư pháp Tỉnh Cà Mau_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPPL ban(...).xlsx,Sở Tư pháp Tỉnh Cà Mau,01c,True
Sở Tư pháp Tỉnh Cà Mau_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉnh_Thành phố.xlsx,Sở Tư pháp Tỉnh Cà Mau,09b,True
Sở Tư pháp Tỉnh Gia Lai_01b_TP_TĐ_Số DT VBQPPL được thẩm định; số DT VBQPPL(...) copy.xlsx,Sở Tư pháp Tỉnh Gia Lai,01b,True
Sở Tư pháp Tỉnh Gia Lai_01b_TP_TĐ_Số DT VBQPPL được thẩm định; số DT VBQPPL(...).xlsx,Sở Tư pháp Tỉnh Gia Lai,01b,True
Sở Tư pháp Tỉnh Gia Lai_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPPL ba(...).xlsx,Sở Tư pháp Tỉnh Gia Lai,01c,True
Sở Tư pháp Tỉnh Gia Lai_04c_TP_PBGDPL_Kết quả công tác phổ biến giáo dục ph(...).xlsx,Sở Tư pháp Tỉnh Gia Lai,04c,True
Sở Tư pháp Tỉnh Gia Lai_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở cơ sở;(...).xlsx,Sở Tư pháp Tỉnh Gia Lai,05c,True
Sở Tư pháp Tỉnh Gia Lai_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉnh_Thành phố.xlsx,Sở Tư pháp Tỉnh Gia Lai,09b,True
Sở Tư pháp Tỉnh Hà Tĩnh_01b_TP_TĐ_Số DT VBQPPL được thẩm định; số DT VBQPPL(...).xlsx,Sở Tư pháp Tỉnh Hà Tĩnh,01b,True
Sở Tư pháp Tỉnh Hà Tĩnh_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPPL ba(...).xlsx,Sở Tư pháp Tỉnh Hà Tĩnh,01c,True
Sở Tư pháp Tỉnh Hà Tĩnh_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉnh_Thành phố.xlsx,Sở Tư pháp Tỉnh Hà Tĩnh,09b,True
Sở Tư pháp Tỉnh Hà Tĩnh_11b_TP_LSTN_Số tổ chức và kết quả hoạt động của các(...) copy.xlsx,Sở Tư pháp Tỉnh Hà Tĩnh,11b,True
Sở Tư pháp Tỉnh Hà Tĩnh_11b_TP_LSTN_Số tổ chức và kết quả hoạt động của các(...).xlsx,Sở Tư pháp Tỉnh Hà Tĩnh,11b,True
Sở Tư pháp Tỉnh Hưng Yên_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPPL b(...).xlsx,Sở Tư pháp Tỉnh Hưng Yên,01c,True
Sở Tư pháp Tỉnh Hưng Yên_04c_TP_PBGDPL_Kết quả công tác phổ biến giáo dục p(...) copy.xlsx,Sở Tư pháp Tỉnh Hưng Yên,04c,True
Sở Tư pháp Tỉnh Hưng Yên_04c_TP_PBGDPL_Kết quả công tác phổ biến giáo dục p(...).xlsx,Sở Tư pháp Tỉnh Hưng Yên,04c,True
Sở Tư pháp Tỉnh Hưng Yên_08b_TP_CNTN_Kết quả đăng ký nuôi con nuôi trong nư(...).xlsx,Sở Tư pháp Tỉnh Hưng Yên,08b,True
Sở Tư pháp Tỉnh Hưng Yên_08c_TP_CNNN_Kết quả giải quyết cho trẻ em Việt Nam(...).xlsx,Sở Tư pháp Tỉnh Hưng Yên,08c,True
Sở Tư pháp Tỉnh Hưng Yên_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉnh_Thà(...).xlsx,Sở Tư pháp Tỉnh Hưng Yên,09b,True
Sở Tư pháp Tỉnh Khánh Hòa_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPPL(...).xlsx,Sở Tư pháp Tỉnh Khánh Hòa,01c,True
Sở Tư pháp Tỉnh Khánh Hòa_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở cơ s(...).xlsx,Sở Tư pháp Tỉnh Khánh Hòa,05c,True
